Name,VictoryPoints,CardColor,ReqWhite,ReqBlue,ReqGreen,ReqRed,ReqBlack,CardTier
1,1,0,0,0,4,0,0,1
2,0,0,0,2,0,0,2,1
3,0,0,0,1,1,1,1,1
4,0,0,0,2,2,0,1,1
5,0,0,0,1,2,1,1,1
6,0,0,0,0,0,2,1,1
7,0,0,3,1,0,0,1,1
8,0,0,0,3,0,0,0,1
9,1,1,0,0,0,4,0,1
10,0,1,1,0,2,2,0,1
11,0,1,1,0,0,0,2,1
12,0,1,1,0,1,2,1,1
13,0,1,1,0,1,1,1,1
14,0,1,0,1,3,1,0,1
15,0,1,0,0,2,0,2,1
16,0,1,0,0,0,0,3,1
17,1,2,0,0,0,0,4,1
18,0,2,0,2,0,2,0,1
19,0,2,0,1,0,2,2,1
20,0,2,2,1,0,0,0,1
21,0,2,1,1,0,1,2,1
22,0,2,1,1,0,1,1,1
23,0,2,0,0,0,3,0,1
24,0,2,1,3,1,0,0,1
25,1,3,4,0,0,0,0,1
26,0,3,1,1,1,0,1,1
27,0,3,2,1,1,0,1,1
28,0,3,2,0,1,0,2,1
29,0,3,2,0,0,2,0,1
30,0,3,3,0,0,0,0,1
31,0,3,1,0,0,1,3,1
32,0,3,0,2,1,0,0,1
33,1,4,0,4,0,0,0,1
34,0,4,0,0,2,1,0,1
35,0,4,1,2,1,1,0,1
36,0,4,1,1,1,1,0,1
37,0,4,0,0,3,0,0,1
38,0,4,0,0,1,3,1,1
39,0,4,2,0,2,0,0,1
40,0,4,2,2,0,1,0,1
